id,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number
9124,Bak-9,GEO,Bakuriani,41.7942,43.4767,James Beck,,
9125,Geg-14,ARM,Geghard,40.1408,44.8203,James Beck,,CS76876
9126,Sev-1,ARM,Sevaberd,40.2856,44.7167,James Beck,,
9128,Yeg-2,ARM,Yeghegis,39.8692,45.3622,James Beck,,CS78864
9129,Yeg-3,ARM,Yeghegis,39.8692,45.3622,James Beck,,
9130,Yeg-4,ARM,Yeghegis,39.8692,45.3622,James Beck,,CS78865
9131,Yeg-5,ARM,Yeghegis,39.8692,45.3622,James Beck,,CS78866
9132,Yeg-6,ARM,Yeghegis,39.8692,45.3622,James Beck,,
9133,Yeg-7,ARM,Yeghegis,39.8692,45.3622,James Beck,,CS78867
9134,Yeg-8,ARM,Yeghegis,39.8692,45.3622,James Beck,,CS78868
9202,Stu-1,BUL,Studenkladenec,41.5417,25.725,James Beck,,
9203,Stu-2,BUL,Studenkladenec,41.5417,25.725,James Beck,,
9204,Stu-3,BUL,Studenkladenec,41.5417,25.725,James Beck,,
9205,Sofia-1,BUL,Sofia,42.8,23.3,James Beck,,
9206,Sofia-2,BUL,Sofia,42.8,23.3,James Beck,,
9207,Sofia-3,BUL,Sofia,42.8,23.3,James Beck,,
9208,Sofia-6,BUL,Sofia,42.8,23.3,James Beck,,
9209,Sofia-7,BUL,Sofia,42.8,23.3,James Beck,,
9210,Sofia-8,BUL,Sofia,42.8,23.3,James Beck,,
9211,Sofia-11,BUL,Sofia,42.8,23.3,James Beck,,
9212,Sofia-12,BUL,Sofia,42.8,23.3,James Beck,,
9213,Zloc-1,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9214,Zloc-2,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9215,Zloc-3,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9216,Zloc-5,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9217,Zloc-6,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9218,Zloc-7,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9219,Zloc-10,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9220,Zloc-11,BUL,Zlocuchane,42.2194,24.17,James Beck,,
9221,Pirin-10,BUL,Pirin,41.5956,23.5483,James Beck,,
9222,Pirin-12,BUL,Pirin,41.5956,23.5483,James Beck,,
9223,Pirin-14,BUL,Pirin,41.5956,23.5483,James Beck,,
9224,Pirin-17,BUL,Pirin,41.5956,23.5483,James Beck,,
9225,Del-1,SRB,Deliblato,44.9444,21.1828,James Beck,,
9226,Del-4,SRB,Deliblato,44.9444,21.1828,James Beck,,
9227,Del-6,SRB,Deliblato,44.9444,21.1828,James Beck,,
